with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 8737, eff_muTau = 0.87
with  tauTau && (HLT_ditau || HLT_singleTau || HLT_MET) : n_tauTau = 9453, eff_tauTau = 0.53
with  tauTau && (HLT_ditau || HLT_singleTau) : n_tauTau = 8294, eff_tauTau = 0.47
with  tauTau && (HLT_ditau) : n_tauTau = 7352, eff_tauTau = 0.41
with  tauTau && (HLT_ditau || HLT_MET) : n_tauTau = 8556, eff_tauTau = 0.48
GluGluToRadionToHHTo2B2Tau_M-700
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 7356, eff_eTau = 0.82
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau) : n_eTau = 6690, eff_eTau = 0.74
with  eTau && (HLT_singleEle || HLT_etau) : n_eTau = 6532, eff_eTau = 0.72
with  eTau && (HLT_singleEle || HLT_etau || HLT_MET) : n_eTau = 7209, eff_eTau = 0.8
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 9942, eff_muTau = 0.93
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 9894, eff_muTau = 0.93
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau) : n_muTau = 9448, eff_muTau = 0.88
with  muTau && (HLT_singleMu || HLT_mutau || HLT_MET) : n_muTau = 9808, eff_muTau = 0.92
with  muTau && (HLT_singleMu || HLT_mutau) : n_muTau = 9352, eff_muTau = 0.88
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 9418, eff_muTau = 0.88
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_singleTau || HLT_mutau) : n_muTau = 9511, eff_muTau = 0.89
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_MET || HLT_mutau) : n_muTau = 9859, eff_muTau = 0.92
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 9418, eff_muTau = 0.88
with  tauTau && (HLT_ditau || HLT_singleTau || HLT_MET) : n_tauTau = 10911, eff_tauTau = 0.59
with  tauTau && (HLT_ditau || HLT_singleTau) : n_tauTau = 9446, eff_tauTau = 0.51
with  tauTau && (HLT_ditau) : n_tauTau = 8180, eff_tauTau = 0.44
with  tauTau && (HLT_ditau || HLT_MET) : n_tauTau = 9706, eff_tauTau = 0.52
GluGluToRadionToHHTo2B2Tau_M-750
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 8051, eff_eTau = 0.84
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau) : n_eTau = 7239, eff_eTau = 0.76
with  eTau && (HLT_singleEle || HLT_etau) : n_eTau = 7000, eff_eTau = 0.73
with  eTau && (HLT_singleEle || HLT_etau || HLT_MET) : n_eTau = 7825, eff_eTau = 0.82
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 10450, eff_muTau = 0.94
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 10401, eff_muTau = 0.93
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau) : n_muTau = 9922, eff_muTau = 0.89
with  muTau && (HLT_singleMu || HLT_mutau || HLT_MET) : n_muTau = 10301, eff_muTau = 0.93
with  muTau && (HLT_singleMu || HLT_mutau) : n_muTau = 9816, eff_muTau = 0.88
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 9893, eff_muTau = 0.89
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_singleTau || HLT_mutau) : n_muTau = 9992, eff_muTau = 0.9
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_MET || HLT_mutau) : n_muTau = 10356, eff_muTau = 0.93
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 9893, eff_muTau = 0.89
with  tauTau && (HLT_ditau || HLT_singleTau || HLT_MET) : n_tauTau = 12235, eff_tauTau = 0.63
with  tauTau && (HLT_ditau || HLT_singleTau) : n_tauTau = 10500, eff_tauTau = 0.54
with  tauTau && (HLT_ditau) : n_tauTau = 8928, eff_tauTau = 0.46
with  tauTau && (HLT_ditau || HLT_MET) : n_tauTau = 10756, eff_tauTau = 0.56
GluGluToRadionToHHTo2B2Tau_M-800
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 8501, eff_eTau = 0.86
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau) : n_eTau = 7609, eff_eTau = 0.77
with  eTau && (HLT_singleEle || HLT_etau) : n_eTau = 7343, eff_eTau = 0.74
with  eTau && (HLT_singleEle || HLT_etau || HLT_MET) : n_eTau = 8254, eff_eTau = 0.84
